genome_id	genome_name	taxon_id	antibiotic	resistant_phenotype	measurement	measurement_sign	measurement_value	measurement_unit	laboratory_typing_method	laboratory_typing_method_version	laboratory_typing_platform	vendor	testing_standard	testing_standard_year	source
573.12935	Klebsiella pneumoniae 104	573	meropenem	Susceptible	<=0.125	<=	0.125	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	nitrofurantoin	Susceptible	32		32	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	piperacillin_tazobactam	Susceptible	4/4		4/4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	tetracycline	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	tobramycin	Susceptible	1		1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12935	Klebsiella pneumoniae 104	573	trimethoprim_sulfamethoxazole	Susceptible	<=0.5/9.5	<=	0.5/9.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	amikacin	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	ampicillin	Resistant	>16	>	16	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	ampicillin_sulbactam	Susceptible	8/4		8/4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	aztreonam	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	cefazolin	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	cefepime	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	cefoxitin	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	ceftazidime	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	ceftriaxone	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	cefuroxime	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	ciprofloxacin	Susceptible	<=0.5	<=	0.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	gentamicin	Susceptible	1		1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	imipenem	Susceptible	<=0.25	<=	0.25	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	levofloxacin	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	meropenem	Susceptible	<=0.125	<=	0.125	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	piperacillin_tazobactam	Susceptible	4/4		4/4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	tetracycline	Susceptible	<=1	<=	1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	tobramycin	Susceptible	1		1	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12863	Klebsiella pneumoniae 105	573	trimethoprim_sulfamethoxazole	Susceptible	<=0.5/9.5	<=	0.5/9.5	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12873	Klebsiella pneumoniae 106	573	amikacin	Susceptible	<=4	<=	4	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
573.12873	Klebsiella pneumoniae 106	573	ampicillin	Resistant	>16	>	16	mg/L	Broth dilution		BD Phoenix		CLSI	2017	
